James Evans,"Santa Fe Institute, Santa Fe, NM, USA"
Charlie Catlett,Argonne National Laboratory
Peter H. Beckman,Argonne National Laboratory
Nicola J. Ferrier,Argonne National Laboratory
Howard C. Nusbaum,"University of Chicago, Chicago, IL, USA"
Michael E. Papka,Argonne National Laboratory
Marc G. Berman,"University of Chicago, Chicago, IL, USA"
Rajesh Sankaran,Argonne National Laboratory
Yu-Sung Su,"Tsinghua University, Beijing, China"
Yanqin Ruan,"Tsinghua University, Beijing, China"
Siyu Sun,"Tsinghua University, Beijing, China"
Yu-Tzung Chang,NTU
Xin Gao,"Tsinghua University, Beijing, China"
Jar-Der Luo,"Tsinghua University, Beijing, China"
Kunhao Yang,"Graduate School of Arts and Sciences, University of Tokyo, Tokyo, Japan"
Xiaoming Fu 0001,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Loring Liu,"Tencent Computer System Co. Ltd, Shenzhen, China"
Weiwei Gu,"Information Science and Technology, Beijing University of Chemical Technology, Beijing, China"
Kirill Martynov,Technische Universität München (TUM)
Kiran Garimella,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"
Robert West 0001,"EPFL, Lausanne, Switzerland"
Alex Pentland,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA"
Nick Rogers,"Stony Brook University, Stony Brook, NY, USA"
Jason J. Jones,"Stony Brook University, Stony Brook, NY, USA"
Philip D. Waggoner,"University of Chicago, Chicago, IL, USA,Columbia University, New York, NY, USA"
Hong Xiong,"School of Systems Science, Beijing Normal University, Beijing, China"
Ying Fan,"School of Systems Science, Beijing Normal University, Beijing, China"
Weiwei Gu,"Beijing Normal University, Beijing, China"
Fei Gao,"School of Systems Science, Beijing Normal University, Beijing, China"
Ruiqi Li,"College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China"
Jiang Zhang,"School of Systems Science, Beijing Normal University, Beijing, China"
Yihan Ma,"School of Computer Science, Fudan University, Shanghai, China"
Hua Sun,"School of Computer Science, Fudan University, Shanghai, China"
Yang Chen 0001,"School of Computer Science, Fudan University, Shanghai, China"
Jiayun Zhang,"School of Computer Science, Fudan University, Shanghai, China"
Yang Xu 0010,"School of Computer Science, Fudan University, Shanghai, China"
Xin Wang,"School of Computer Science, Fudan University, Shanghai, China"
Pan Hui 0001,"University of Helsinki, Helsinki, Finland,Hong Kong University of Science and Technology, Hong Kong, China"
Shichang Ding,"State Key Laboratory of Mathematical Engineering and Advanced Computing, Zhengzhou, China"
Xin Gao,"Tsinghua University, Beijing, China"
Yufan Dong,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Yiwei Tong,"Shanghai Hejin Information Technology Company, Shanghai, China"
Xiaoming Fu 0001,"Institute of Computer Science, University of Göttingen, Göttingen, Germany"
Lu Hong,"Loyola University Chicago, Chicago, IL, USA"
P. J. Lamberson,"University of California - Los Angeles (UCLA), Los Angeles, CA, USA"
Scott E. Page,"Ross Business School, University of Michigan, Ann Arbor, MI, USA"
Huimin Chen,"School of Journalism and Communication, Tsinghua University, Beijing, China"
Cheng Yang 0002,"School of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China"
Xuanming Zhang,"Tsinghua University, Beijing, China"
Zhiyuan Liu 0001,"Tsinghua University, Beijing, China"
Maosong Sun,"Tsinghua University, Beijing, China"
Jianbin Jin,"School of Journalism and Communication, Tsinghua University, Beijing, China"
Philip D. Waggoner,"Institute for Social and Economic Research and Policy, Columbia University, New York City, NY, USA"
Robert Y. Shapiro,"Columbia University, New York City, NY, USA"
Samuel Frederick,"Columbia University, New York City, NY, USA"
Ming Gong,"Columbia University, New York City, NY, USA"
Chenting Jiang,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Anthony D'Arienzo,"University of Illinois at Urbana-Champaign, Champaign, IL, USA"
Weihua Li,"School of Engineering, Computer and Mathematical Sciences, Auckland University of Technology, Auckland, New Zealand"
Shiqing Wu,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Quan Bai,"School of Information and Communication Technology, University of Tasmania, Hobart, Australia"
Xupin Zhang,"Warner School of Education and Human Development, University of Rochester, Rochester, NY, USA"
Hanjia Lyu,"Goergen Institute for Data Science, University of Rochester, Rochester, NY, USA"
Jiebo Luo,"University of Rochester, Rochester, NY, USA"
Guodong Ju,"London School of Economics and Political Science, London, UK"
Jiankun Liu,"Harbin Engineering University, Harbin, China"
Guangye He,"Nanjing University, Nanjing, China"
Xinyi Zhang,"Business School, Beijing Language and Culture University, Beijing, China"
Fei Yan,"Tsinghua University, Beijing, China"
