Heinz Schmitz,"Hochschule Trier, Trier, Germany"
Ioanna Lykourentzou,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Fred Morstatter,"USC Information Sciences Institute, CA, USA"
Salvador Ruiz-Correa,"IPICYT, San Luis Potosi, SLP, Mexico"
Kevin Crowston,
Xuefei (Nancy) Deng,
Morten Bay,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Jorge Saldivar,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Luca Cernuzzi,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Salvador Ruiz-Correa,"Instituto Potosino de Investigación Científica y Tecnólogica (IPICYT), México"
Carlo Olmos-Carrillo,"Huapango Media, México"
Simon Walk,"Detego GmbH, Graz, Austria"
Scott Rager,"Raytheon BBN Technologies, MA, USA"
Arnim Bleier,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Clemens Lechner,"GESIS--Leibniz Institute for the Social Sciences, Mannheim, Germany"
Fabian Flöck,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Xuefei (Nancy) Deng,"California State University, CA, USA"
Andre Ferretto,"SP Tech Solutions, Hawthorn, VIC, Australia"
Sanjaya Wijeratne,"Holler Technologies, Inc., CA, USA"
John Glover,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Lidong Bing,"DAMO Academy, Alibaba Group"
Zhao Zhang,Kwai Inc.
Frank L. Greitzer,"PsyberAnalytix, Richland, WA USA"
Justin Purl,Human Resources Research Organization
