George Cybenko,Dartmouth College
Eunice E. Santos,University of Texas at El Paso
Vikram Krishnamurthy,University of British Columbia
H. Vincent Poor,Princeton University
Erez Shmueli,Massachusetts Institute of Technology
Vivek K. Singh,Massachusetts Institute of Technology
Alex Pentland,Massachusetts Institute of Technology
Joshua D. Guzman,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Richard F. Deckro,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Matthew J. Robbins,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
James F. Morris,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Nicholas A. Ballester,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Mingming Chen,Tsinghua University
Konstantin Kuzmin,Rennselaer Polytechnic Institute
Boleslaw K. Szymanski,Rennselaer Polytechnic Institute
Edoardo Serra,University of Maryland - College Park
V. S. Subrahmanian,University of Maryland - College Park
Greg Ver Steeg,University of Southern California
Aram Galstyan,University of Southern California
Alexander G. Tartakovsky,University of Connecticut
Claudia Wagner,GESIS - Leibniz Institute for the Social Sciences
Philipp Singer,Graz University of Technology
Markus Strohmaier,GESIS - Leibniz Institute for the Social Sciences
Bernardo A. Huberman,HP Labs
Erez Shmueli,Tel-Aviv University
Guy Zyskind,MIT Media Lab
Oren Lederman,MIT Media Lab
Nuria Oliver,Telefónica Research
Alex Pentland,MIT Media Lab
Amos Azaria,Carnegie Mellon University
Sarit Kraus,Bar Ilan University
V. S. Subrahmanian,University of Maryland - College Park
Jure Leskovec,Stanford University
Eric Horvitz,Microsoft
Vikram Krishnamurthy,University of British Columbia
William Hoiles,University of British Columbia
Md. Imrul Kayes,University of South Florida
Jacob Chakareski,University of Alabama
Noseong Park,University of Maryland - College Park
Edoardo Serra,University of Maryland - College Park
Tom Snitch,University of Maryland - College Park
V. S. Subrahmanian,University of Maryland - College Park
Mianxiong Dong,Muroran Institute of Technology
Rajiv Ranjan,Newcastle University
Albert Y. Zomaya,University of Sydney
Man Lin,St. Francis Xavier University
Kuan Zhang,University of Waterloo
Xiaohui Liang,University of Massachusetts
Rongxing Lu,Nanyang Technological University
Xuemin Shen,University of Waterloo
Li Lu 0001,UESTC
Yongshuai Liu,UESTC
Chao Chen 0015,Deakin University
Jun Zhang 0010,Deakin University
Yi Xie 0002,Sun Yat-sen University
Yang Xiang 0001,Deakin University
Wanlei Zhou,Deakin University
Mohammad Mehedi Hassan,King Saud University
Abdulhameed Alelaiwi,King Saud University
Majed A. AlRubaian,King Saud University
Hongyang Zhao,Zhejiang University
Huan Zhou 0002,Zhejiang University
Chengjue Yuan,Shanghai Jiao Tong University
Yinghua Huang,Zhejiang University
Jiming Chen 0001,Zhejiang University
Zheng Yan 0002,Aalto University
Wei Feng,Xidian University
Pu Wang,Xidian University
Gang Liang,McGill University
Wenbo He,McGill University
Chun Xu,Sichuan University
Liangyin Chen,Sichuan University
Jinquan Zeng,UESTC
Prem Prakash Jayaraman,RMIT University
Zahraa Said Abdallah,Monash University
Arkady B. Zaslavsky,CSIRO
Mianxiong Dong,Muroran Institute of Technology
Rajiv Ranjan,Newcastle University
Albert Y. Zomaya,University of Sydney
Man Lin,St. Francis Xavier University
Katsuya Suto,Tohoku University
Keisuke Miyanabe,Tohoku University
Hiroki Nishiyama 0001,Tohoku University
Nei Kato,Tohoku University
Mi Wen,Shanghai University
Kaoru Ota,Muroran Institute of Technology
He Li 0001,Muroran Institute of Technology
Jingsheng Lei,Shanghai University
Chunhua Gu,Shanghai University
Zhou Su,Shanghai University
Yang Liu 0064,Michigan Technological University
Shiyan Hu,Michigan Technological University
Yuan Zhang 0006,UESTC
Chunxiang Xu,UESTC
Shui Yu,Deakin University
Hongwei Li 0001,Chinese Academy of Sciences
Xiaojun Zhang,UESTC
Charith Perera,Open University
Dumidu S. Talagala,University of Surrey
Chi Harold Liu,Beijing Institute of Technology
Júlio Cezar Estrella,University of São Paulo
Nikos Tziritas,Chinese Academy of Sciences
Thanasis Loukopoulos,University of Thessaly
Samee U. Khan,Dakota State University
Cheng-Zhong Xu 0001,Chinese Academy of Sciences
Sudip Misra,IIT Kharagpur
Sumit Goswami,IIT Kharagpur
Farshad Salimi Naneh Karan,University of Tennessee
Subhadeep Chakraborty,University of Tennessee
Erica Briscoe,Georgia Institute of Technology
Darren Scott Appling,Georgia Institute of Technology
Joel Schlosser,Georgia Institute of Technology
Zhe Liu 0002,IBM
Bernard J. Jansen,Qatar Computing Research Institute
Chao Chen 0015,Deakin University
Jun Zhang 0010,Deakin University
Yi Xie 0002,Sun Yat-sen University
Yang Xiang 0001,Deakin University
Wanlei Zhou,Deakin University
Mohammad Mehedi Hassan,King Saud University
Abdulhameed Alelaiwi,King Saud University
Yang Liu 0046,New Jersey Institute of Technology
Songhua Xu,New Jersey Institute of Technology
Sarah A. Marshall,Wake Forest School of Medicine
Nancy E. Avis,Wake Forest School of Medicine
Edward H. Ip,Wake Forest School of Medicine
Ngot Bui,Pennsylvania State University
John Yen,Pennsylvania State University
Vasant G. Honavar,Pennsylvania State University
Alireza Farasat,University at Buffalo
Geoff A. Gross,University at Buffalo
Rakesh Nagi,University of Illinois at Urbana–Champaign
Alexander G. Nikolaev,University at Buffalo
Feng Xia 0001,Dalian University of Technology
Behrouz Jedari,Dalian University of Technology
Laurence Tianruo Yang,St. Francis Xavier University
Jianhua Ma,Hosei University
Runhe Huang,Hosei University
Mehwish Nasim,University of Konstanz
Raphaël Charbey,Telecom ParisTech
Christophe Prieur,Telecom ParisTech
Ulrik Brandes,University of Konstanz
Srinka Basu,University of Kalyani
Ujjwal Maulik,Jadavpur University
Oishik Chatterjee,Jadavpur University
Camellia Sarkar,IIT Indore
Sarika Jalan,IIT Indore
Duan-Shin Lee,National Tsing Hua University
Cheng-Shang Chang,National Tsing Hua University
Guangmo Amo Tong,University of Texas at Dallas
Shasha Li,Zhejiang University
Weili Wu,University of Texas at Dallas
Ding-Zhu Du,University of Texas at Dallas
Torin Stepan,University of Alberta
Jason M. Morawski,University of Alberta
Scott Dick,University of Alberta
James Miller 0001,University of Alberta
Yuqing Mao,Nanjing University
Haifeng Shen,Flinders University
Xiwang Yang,York University
Chao Liang,York University
Miao Zhao,The Hong Kong Polytechnic University
Hongwei Wang 0004,Shanghai Jiao Tong University
Hao Ding 0006,York University
Yong Liu 0013,York University
Negar Foroutan Eghlidi,Shiraz University
Ali Hamzeh,Shiraz University
Anup K. Kalia,IBM
Norbou Buchler,U.S. Army Research Laboratory
Arwen H. DeCostanza,U.S. Army Research Laboratory
Munindar P. Singh,North Carolina State University
Sang Peter Chin,Boston University
Jonathan Cohen,Johns Hopkins University
Alison Albin,Johns Hopkins University
Mykola Hayvanovych,Johns Hopkins University
Elizabeth Reilly,Johns Hopkins University
Gavin Brown,Boston University
Jacob Harer,Boston University
Fei-Yue Wang 0001,Chinese Academy of Sciences
Yuqing Zhu 0002,California State University at Los Angeles
Deying Li 0001,Renmin University of China
Ruidong Yan,Renmin University of China
Weili Wu,University of Texas at Dallas
Abigail Paradise,Ben-Gurion University of the Negev
Asaf Shabtai,Ben-Gurion University of the Negev
Rami Puzis,Ben-Gurion University of the Negev
Aviad Elyashar,Ben-Gurion University of the Negev
Yuval Elovici,Ben-Gurion University of the Negev
Yantao Jia,Chinese Academy of Sciences
Yuanzhuo Wang,Chinese Academy of Sciences
Xiaolong Jin,Chinese Academy of Sciences
Zeya Zhao,Chinese Academy of Sciences
Xueqi Cheng,Chinese Academy of Sciences
Keith Paarporn,Georgia Institute of Technology
Ceyhun Eksin,Georgia Institute of Technology
Joshua S. Weitz,Georgia Institute of Technology
Jeff S. Shamma,King Abdullah University of Science and Technology
Denis Gracanin,Virginia Tech
