institution,region,countryabbrv
AUEB,europe,gr
Aalborg University,europe,dk
Aalto University,europe,fi
Aarhus University,europe,dk
Aberystwyth University,europe,uk
American University in Cairo,africa,eg
American University of Beirut,asia,lb
Ariel University,asia,il
Australian National University,australasia,au
BITS Pilani,asia,in
BUET,asia,bd
Babeş Bolyai University,europe,ro
Bar-Ilan University,asia,il
Bauhaus University Weimar,europe,de
Beihang University,asia,cn
Ben-Gurion University of the Negev,asia,il
Bielefeld University,europe,de
Bilkent University,asia,tr
Birkbeck University of London,europe,uk
Bocconi University,europe,it
Bosphorus University,asia,tr
Brandenburg University of Technology,europe,de
Brno University of Technology,europe,cz
Brunel University London,europe,uk
Bundeswehr University Munich,europe,de
CISPA Helmholtz Center,europe,de
CMI,asia,in
CRIStAL,europe,fr
CWI,europe,nl
Cardiff University,europe,uk
Carleton University,canada,ca
Chalmers/GU,europe,se
Charles University,europe,cz
Chinese Academy of Sciences,asia,cn
Chinese University of Hong Kong,asia,hk
Chulalongkorn University,asia,th
City University of Hong Kong,asia,hk
City University of London,europe,uk
Concordia University,canada,ca
Cyprus University of Technology,europe,cy
Czech Technical University,europe,cz
DAIICT,asia,in
DTU,europe,dk
Dalhousie University,canada,ca
De La Salle University,asia,ph
Durham University,europe,uk
EPFL,europe,ch
ETH Zurich,europe,ch
ETS Montreal,canada,ca
EURECOM,europe,fr
Ecole Normale Superieure,europe,fr
Normal School of Cachan Superior,europe,fr
Normal School of Lyon,europe,fr
Normal School of Rennes,europe,fr
Federal University of Rio Grande,southamerica,br
Freie Universitaet Berlin,europe,de
Friedrich Schiller University Jena,europe,de
Fudan University,asia,cn
Goethe University Frankfurt,europe,de
Goldsmiths University of London,europe,uk
Graz University of Technology,europe,at
HEC Montreal,canada,ca
HKUST,asia,hk
Hacettepe University,asia,tr
Hamburg University of Technology,europe,de
Hanyang University,asia,kr
Harbin Institute of Technology,asia,cn
Hasso Plattner Institute,europe,de
Hebrew University of Jerusalem,asia,il
Heidelberg University,europe,de
Heriot-Watt University,europe,uk
Hong Kong Baptist University,asia,hk
Humboldt University of Berlin,europe,de
Hunan University,asia,cn
IIIT Bangalore,asia,in
IIIT Delhi,asia,in
IIIT Hyderabad,asia,in
IISc Bangalore,asia,in
IIT (BHU) Varanasi,asia,in
IIT Bhubaneswar,asia,in
IIT Bombay,asia,in
IIT Delhi,asia,in
IIT Gandhinagar,asia,in
IIT Guwahati,asia,in
IIT Hyderabad,asia,in
IIT Indore,asia,in
IIT Jodhpur,asia,in
IIT Kanpur,asia,in
IIT Kharagpur,asia,in
IIT Madras,asia,in
IIT Mandi,asia,in
